L = 0.03
13.4972 0.0124 0.0000
13.5281 0.0000 0.0119
13.5538 0.0098 0.0000
13.5659 0.0118 0.0000
13.6070 0.0065 0.0000
13.6305 0.0000 0.0070
13.6327 0.0000 0.0056
13.6901 0.0052 0.0000
13.7426 0.0064 0.0000
13.7537 0.0063 0.0000
13.7642 0.0000 0.0104
13.7854 0.0053 0.0000
13.7940 0.0091 0.0000
13.7963 0.0000 0.0188
13.8275 0.0000 0.0159
13.8334 0.0000 0.0152
13.8950 0.0000 0.0051
13.9137 0.0000 0.0097
13.9346 0.0098 0.0000
13.9978 0.0000 0.0206
14.0397 0.0058 0.0000
14.0736 0.0000 0.0087
14.0955 0.0047 0.0000
14.1141 0.0048 0.0000
14.2043 0.0184 0.0000
14.2284 0.0000 0.0145
14.3030 0.0000 0.0132
14.3981 0.0000 0.0047
14.4019 0.0091 0.0000
14.4143 0.0079 0.0000
14.4244 0.0000 0.0116
14.4306 0.0000 0.0060
14.4511 0.0114 0.0000
14.4552 0.0088 0.0000
14.4869 0.0000 0.0110
14.4914 0.0035 0.0000
14.5076 0.0000 0.0033
14.5209 0.0113 0.0000
14.5423 0.0000 0.0085
14.5624 0.0007 0.0000
14.6319 0.0168 0.0000
14.6970 0.0000 0.0188
14.7054 0.0000 0.0108
14.7205 0.0078 0.0000
14.7652 0.0173 0.0000
14.7654 0.0000 0.0184
14.7741 0.0000 0.0058
14.8380 0.0067 0.0000
14.8599 0.0000 0.0114
14.9228 0.0126 0.0000
14.9862 0.0000 0.0079
14.9947 0.0068 0.0000
15.0055 0.0000 0.0212
15.0249 0.0080 0.0000
15.0408 0.0000 0.0091
15.0426 0.0148 0.0000
15.1034 0.0000 0.0215
15.1093 0.0076 0.0000
15.2021 0.0086 0.0000
15.2852 0.0111 0.0000
15.3444 0.0000 0.0084
15.3582 0.0037 0.0000
15.3717 0.0140 0.0000
15.3988 0.0000 0.0119
15.5357 0.0000 0.0065
15.5393 0.0097 0.0000
15.5869 0.0085 0.0000
15.5900 0.0071 0.0000
15.5957 0.0056 0.0000
15.5961 0.0000 0.0005
15.6070 0.0000 0.0152
15.6224 0.0000 0.0160
15.7032 0.0090 0.0000
15.7116 0.0000 0.0117
15.7116 0.0029 0.0000
15.7518 0.0000 0.0271
15.7877 0.0000 0.0019
15.8172 0.0000 0.0053
15.8297 0.0000 0.0174
15.8620 0.0000 0.0087
15.9049 0.0000 0.0030
15.9160 0.0048 0.0000
15.9264 0.0084 0.0000
15.9333 0.0120 0.0000
15.9359 0.0000 0.0046
15.9369 0.0000 0.0101
15.9705 0.0096 0.0000
15.9810 0.0106 0.0000
15.9812 0.0172 0.0000
15.9943 0.0134 0.0000
16.0765 0.0065 0.0000
16.0771 0.0123 0.0000
16.0895 0.0012 0.0000
16.0912 0.0000 0.0130
16.1098 0.0197 0.0000
16.1236 0.0000 0.0203
16.1298 0.0000 0.0190
16.1709 0.0000 0.0103
16.2102 0.0000 0.0055
16.2134 0.0060 0.0000
16.2490 0.0140 0.0000
16.2820 0.0000 0.0081
16.2969 0.0182 0.0000
16.3093 0.0076 0.0000
16.3135 0.0000 0.0099
16.3331 0.0072 0.0000
16.3448 0.0000 0.0067
16.3714 0.0067 0.0000
16.3876 0.0196 0.0000
16.4087 0.0064 0.0000
16.4140 0.0000 0.0018
16.4273 0.0061 0.0000
16.4853 0.0000 0.0097
16.5089 0.0052 0.0000
16.5212 0.0177 0.0000
16.5309 0.0052 0.0000
16.5423 0.0000 0.0262
16.5565 0.0052 0.0000
16.5806 0.0000 0.0162
16.5861 0.0165 0.0000
16.6128 0.0000 0.0057
16.6230 0.0168 0.0000
16.6707 0.0072 0.0000
16.6963 0.0109 0.0000
16.7383 0.0065 0.0000
16.8125 0.0000 0.0186
16.8611 0.0013 0.0000
16.9046 0.0000 0.0168
16.9677 0.0078 0.0000
17.0430 0.0024 0.0000
17.0598 0.0154 0.0000
17.0835 0.0000 0.0067
17.1241 0.0008 0.0000
17.1281 0.0051 0.0000
17.1970 0.0000 0.0057
17.1981 0.0105 0.0000
17.2214 0.0152 0.0000
17.2230 0.0000 0.0071
17.2232 0.0066 0.0000
17.2515 0.0020 0.0000
17.2828 0.0000 0.0026
17.3240 0.0000 0.0278
17.3440 0.0004 0.0000
17.3449 0.0036 0.0000
17.3620 0.0112 0.0000
17.3637 0.0103 0.0000
17.3637 0.0033 0.0000
17.3927 0.0036 0.0000
17.4047 0.0000 0.0151
17.4728 0.0000 0.0115
17.4946 0.0113 0.0000
17.5164 0.0000 0.0221
17.5382 0.0000 0.0015
17.5520 0.0000 0.0127
17.5608 0.0054 0.0000
17.5840 0.0074 0.0000
17.5875 0.0092 0.0000
17.5898 0.0000 0.0082
17.6690 0.0000 0.0026
17.6916 0.0000 0.0092
17.7272 0.0104 0.0000
17.7292 0.0061 0.0000
17.7604 0.0000 0.0082
17.7886 0.0032 0.0000
17.7893 0.0110 0.0000
17.8040 0.0000 0.0228
17.8175 0.0057 0.0000
17.8657 0.0000 0.0094
17.9175 0.0000 0.0076
17.9459 0.0109 0.0000
18.0140 0.0000 0.0121
18.0390 0.0000 0.0096
18.0440 0.0000 0.0043
18.0528 0.0132 0.0000
18.0784 0.0000 0.0073
18.0791 0.0070 0.0000
18.0973 0.0000 0.0200
18.1036 0.0064 0.0000
18.1329 0.0091 0.0000
18.1354 0.0000 0.0047
18.1399 0.0011 0.0000
18.1510 0.0086 0.0000
18.2001 0.0000 0.0133
18.2128 0.0000 0.0262
18.2284 0.0077 0.0000
18.2754 0.0032 0.0000
18.3032 0.0136 0.0000
18.3079 0.0000 0.0023
18.3080 0.0000 0.0016
18.3398 0.0000 0.0041
18.3413 0.0126 0.0000
18.3549 0.0123 0.0000
18.3677 0.0000 0.0055
18.3874 0.0006 0.0000
18.3957 0.0000 0.0064
18.3968 0.0099 0.0000
18.4814 0.0067 0.0000
18.5170 0.0109 0.0000
18.5264 0.0083 0.0000
18.5929 0.0000 0.0112
18.5964 0.0000 0.0145
18.6277 0.0000 0.0030
18.6428 0.0083 0.0000
18.6491 0.0004 0.0000
18.6502 0.0029 0.0000
18.6627 0.0000 0.0143
18.7394 0.0123 0.0000
18.7487 0.0000 0.0022
18.7670 0.0000 0.0152
18.7838 0.0000 0.0033
18.8171 0.0000 0.0186
18.8373 0.0125 0.0000
18.8975 0.0066 0.0000
18.9413 0.0079 0.0000
18.9488 0.0030 0.0000
18.9523 0.0000 0.0105
18.9590 0.0000 0.0134
18.9634 0.0144 0.0000
19.0084 0.0000 0.0294
19.0182 0.0000 0.0190
19.0273 0.0068 0.0000
19.0469 0.0000 0.0091
19.0492 0.0080 0.0000
19.1314 0.0047 0.0000
19.1604 0.0000 0.0078
19.1792 0.0000 0.0030
19.2057 0.0103 0.0000
19.3120 0.0098 0.0000
19.3160 0.0096 0.0000
19.3293 0.0181 0.0000
19.3703 0.0000 0.0133
19.4001 0.0000 0.0169
19.4571 0.0043 0.0000
19.4574 0.0062 0.0000
19.4841 0.0000 0.0111
19.5139 0.0085 0.0000
19.5790 0.0052 0.0000
19.6032 0.0034 0.0000
19.6638 0.0000 0.0104
19.6642 0.0047 0.0000
19.6845 0.0088 0.0000
19.6919 0.0078 0.0000
19.7026 0.0040 0.0000
19.7228 0.0089 0.0000
19.7350 0.0000 0.0040
19.7360 0.0161 0.0000
19.7630 0.0073 0.0000
19.7727 0.0000 0.0225
19.8323 0.0000 0.0229
19.8414 0.0075 0.0000
19.8598 0.0076 0.0000
19.8680 0.0079 0.0000
19.8752 0.0000 0.0166
19.8777 0.0059 0.0000
19.9945 0.0000 0.0073
20.0556 0.0000 0.0137
20.1013 0.0069 0.0000
20.1371 0.0000 0.0131
20.1533 0.0000 0.0057
20.2005 0.0177 0.0000
20.2014 0.0000 0.0188
20.2083 0.0000 0.0155
20.2628 0.0000 0.0048
20.2777 0.0048 0.0000
20.2874 0.0000 0.0148
20.2908 0.0000 0.0044
20.3285 0.0000 0.0064
20.3720 0.0000 0.0194
20.3946 0.0000 0.0099
20.4153 0.0076 0.0000
20.4263 0.0109 0.0000
20.4753 0.0098 0.0000
20.4798 0.0000 0.0127
20.5126 0.0038 0.0000
20.5265 0.0056 0.0000
20.5645 0.0000 0.0142
20.5725 0.0033 0.0000
20.6128 0.0108 0.0000
20.6476 0.0000 0.0029
20.6773 0.0000 0.0029
20.7496 0.0068 0.0000
20.7511 0.0121 0.0000
20.7581 0.0168 0.0000
20.7762 0.0000 0.0094
20.7944 0.0000 0.0212
20.8887 0.0000 0.0201
20.9123 0.0048 0.0000
20.9320 0.0101 0.0000
20.9388 0.0000 0.0082
20.9463 0.0068 0.0000
20.9521 0.0000 0.0050
20.9750 0.0000 0.0253
21.0627 0.0000 0.0050
21.0831 0.0081 0.0000
21.0904 0.0000 0.0156
21.1060 0.0058 0.0000
21.1184 0.0000 0.0137
21.1288 0.0000 0.0060
21.1387 0.0177 0.0000
21.1434 0.0000 0.0008
21.1479 0.0038 0.0000
21.1679 0.0000 0.0066
21.1707 0.0000 0.0103
21.1820 0.0000 0.0132
21.1955 0.0044 0.0000
21.3502 0.0000 0.0091
21.3685 0.0072 0.0000
21.3949 0.0000 0.0155
21.3978 0.0000 0.0150
21.4088 0.0000 0.0104
21.4252 0.0044 0.0000
21.4289 0.0139 0.0000
21.4452 0.0000 0.0112
21.4708 0.0000 0.0254
21.5964 0.0084 0.0000
21.7389 0.0078 0.0000
21.7453 0.0048 0.0000
21.7807 0.0000 0.0033
21.7967 0.0000 0.0105
21.9485 0.0000 0.0240
21.9492 0.0098 0.0000
21.9642 0.0098 0.0000
21.9772 0.0000 0.0228
21.9845 0.0059 0.0000
21.9910 0.0028 0.0000
22.0189 0.0093 0.0000
22.0380 0.0000 0.0123
22.0817 0.0104 0.0000
22.1005 0.0082 0.0000
22.1191 0.0051 0.0000
22.1241 0.0139 0.0000
22.1807 0.0114 0.0000
22.2701 0.0000 0.0177
22.3135 0.0070 0.0000
22.3437 0.0093 0.0000
22.3477 0.0152 0.0000
22.3546 0.0069 0.0000
22.3550 0.0079 0.0000
22.3829 0.0117 0.0000
22.4047 0.0000 0.0101
22.4076 0.0016 0.0000
22.4218 0.0034 0.0000
22.4584 0.0101 0.0000
22.4879 0.0022 0.0058
22.5864 0.0067 0.0000
22.6149 0.0000 0.0102
22.6602 0.0000 0.0159
22.7206 0.0000 0.0055
22.7852 0.0000 0.0159
22.8147 0.0072 0.0000
22.8773 0.0000 0.0008
22.8891 0.0000 0.0053
22.8981 0.0114 0.0000
22.9095 0.0050 0.0000
22.9160 0.0000 0.0119
22.9222 0.0054 0.0000
22.9282 0.0000 0.0066
22.9725 0.0064 0.0000
22.9868 0.0000 0.0055
22.9889 0.0054 0.0000
22.9891 0.0134 0.0000
23.0064 0.0000 0.0079
23.0343 0.0048 0.0000
23.0635 0.0000 0.0124
23.0667 0.0055 0.0000
23.1060 0.0000 0.0158
23.1080 0.0000 0.0082
23.1337 0.0083 0.0000
23.1401 0.0000 0.0072
23.1605 0.0029 0.0000
23.1792 0.0000 0.0135
23.2225 0.0215 0.0000
23.2356 0.0000 0.0219
23.2386 0.0000 0.0095
23.2480 0.0175 0.0000
23.2971 0.0176 0.0128
23.3312 0.0127 0.0000
23.3692 0.0109 0.0000
23.4218 0.0000 0.0059
23.4287 0.0073 0.0000
23.4318 0.0037 0.0000
23.4517 0.0000 0.0083
23.4897 0.0129 0.0000
23.5849 0.0068 0.0000
23.6140 0.0033 0.0000
23.6301 0.0000 0.0119
23.7099 0.0000 0.0061
23.7336 0.0000 0.0047
23.7465 0.0000 0.0145
23.8001 0.0000 0.0053
23.8007 0.0000 0.0103
23.8510 0.0122 0.0000
23.8738 0.0000 0.0059
23.9529 0.0000 0.0128
23.9652 0.0000 0.0101
23.9912 0.0085 0.0000
24.0264 0.0000 0.0082
