frame	x	y	id	time	velocity
3	-0.808588	-1.31675	10	0.400000	1.7244828485094221
3	-8.31514	-0.233959	11	0.400000	1.2833754703697318
3	-12.6859	-0.505863	12	0.400000	0.956572856535643
3	-9.82886	-0.313799	13	0.400000	0.7712125830982826
3	-12.0315	0.677447	14	0.400000	1.3010775806858288
3	-4.4078	0.989817	15	0.400000	1.670579277968177
3	-3.00405	6.29254	16	0.400000	0.21389629455372333
3	0.299709	3.53624	17	0.400000	1.2472163123110092
3	1.48366	2.91037	18	0.400000	1.5571845525335137
3	2.53334	3.91357	19	0.400000	1.512471747838287
3	5.10824	6.76501	20	0.400000	1.0906594248952373
3	5.97856	6.14625	21	0.400000	1.9369083683543362
3	8.52498	1.43874	22	0.400000	0.7712125830982911
3	8.36188	-0.725598	23	0.400000	1.6289818639596123
3	11.2603	0.0360637	24	0.400000	1.3010820876885356
4	-10.0643	-5.6715	0	0.533333	0.47828661680262297
4	-4.88408	-6.18814	1	0.533333	1.4972710117204893
4	6.11835	0.979743	2	0.533333	1.5124715841356722
4	1.47808	0.143405	3	0.533333	1.512471752639244
4	3.07369	-2.46012	4	0.533333	1.5124716586029159
4	-2.89912	-0.41362	5	0.533333	1.5124721671927588
4	1.78054	-5.39763	6	0.533333	1.8149659306243513
4	0.175249	-3.22178	7	0.533333	0.9565715248359227
4	-3.23361	-6.36814	8	0.533333	0.6763975447726747
4	-10.1044	-6.18407	9	0.533333	1.151865915110773
4	-0.717888	-1.09059	10	0.533333	1.827526366086167
4	-8.17258	-0.237187	11	0.533333	1.0694784327980031
4	-12.6619	-0.706093	12	0.533333	1.5124708555011077
4	-9.82757	-0.256775	13	0.533333	0.4277916723633977
4	-12.0263	0.905544	14	0.533333	1.7111663626734488
4	-4.29698	0.844675	15	0.533333	1.3696015078158035
4	-3.03256	6.29319	16	0.533333	0.21389629455372333
4	0.415694	3.61919	17	0.533333	1.069479032644313
4	1.2575	3.00107	18	0.533333	1.8275269784427257
4	2.67654	3.93886	19	0.533333	1.0906594248952373
4	4.9093	6.79804	20	0.533333	1.5124717526392422
4	6.17815	6.14173	21	0.533333	1.4972710117204893
4	8.5522	1.38107	22	0.533333	0.4782852982776727
4	8.50638	-0.643288	23	0.533333	1.2472159311956097
4	11.3737	0.00496971	24	0.533333	0.8819143417222349
5	-10.039	-5.8147	0	0.666667	1.0906582512695029
5	-5.05516	-6.18427	1	0.666667	1.2833747171670342
5	6.22788	0.777576	2	0.666667	1.7244831949701587
5	1.30765	0.17579	3	0.666667	1.3010769425810935
5	3.10672	-2.26118	4	0.666667	1.5124717526392457
5	-3.00994	-0.268477	5	0.666667	1.3696010526690823
5	1.66972	-5.25249	6	0.666667	1.3696015674263144
5	0.263367	-3.10967	7	0.666667	1.0694785322804687
5	-3.20639	-6.42581	8	0.666667	0.47828597651745086
5	-10.1886	-6.12511	9	0.666667	0.7712090807469193
5	-0.628479	-0.92145	10	0.666667	1.4348568894193128
5	-8.0015	-0.241059	11	0.666667	1.2833754703697184
5	-12.6373	-0.877811	12	0.666667	1.301078025778374
5	-9.79777	-0.200396	13	0.666667	0.47828535699246455
5	-12.0218	1.10513	14	0.666667	1.4972707528306046
5	-4.18615	0.699532	15	0.666667	1.3696015078158
