id de la partícula "i" 	-	 id's de las partículas cuya distancia borde-borde es menos de rc 
60	-	71, 89, 91, 119, 196, 209, 303, 349, 359, 362, 378, 379, 434, 502, 516, 542, 631, 645, 661, 676, 699, 719, 736, 743, 768, 882, 886, 903, 968, 984, 1017, 1088, 1134, 1187, 1458, 
61	-	0, 28, 189, 344, 404, 525, 528, 582, 587, 643, 680, 701, 930, 1097, 1160, 1165, 1196, 1214, 1265, 1314, 1411, 1479, 1499, 
62	-	106, 144, 282, 328, 333, 442, 455, 555, 604, 655, 710, 716, 733, 810, 870, 911, 929, 1011, 1226, 1244, 1245, 1286, 1307, 1311, 1443, 1515, 
63	-	59, 106, 124, 144, 212, 271, 413, 455, 496, 561, 604, 655, 695, 710, 733, 745, 767, 841, 878, 900, 1224, 1244, 1307, 1473, 1487, 1515, 
64	-	14, 87, 107, 137, 150, 236, 284, 291, 473, 601, 702, 758, 1007, 1008, 1067, 1076, 1140, 1269, 1301, 1356, 1387, 1498, 
65	-	73, 87, 150, 195, 284, 302, 319, 416, 473, 573, 702, 756, 828, 847, 1055, 1076, 1081, 1167, 1269, 1297, 1387, 1472, 1492, 1498, 
66	-	89, 158, 303, 321, 359, 438, 516, 696, 699, 807, 1188, 1288, 
67	-	25, 27, 130, 383, 398, 452, 464, 557, 607, 650, 652, 681, 753, 845, 898, 937, 983, 1020, 1128, 1135, 1266, 1327, 1354, 1425, 
68	-	145, 163, 168, 191, 237, 350, 388, 412, 414, 483, 526, 535, 566, 594, 636, 739, 830, 854, 907, 915, 1014, 1129, 1218, 1335, 1415, 1470, 
69	-	275, 404, 519, 525, 533, 544, 583, 608, 688, 725, 785, 860, 964, 1018, 1029, 1041, 1075, 1160, 1214, 1254, 1279, 1332, 1479, 1526, 
70	-	224, 278, 326, 485, 625, 677, 742, 760, 837, 1063, 1096, 1103, 1138, 1149, 1154, 1161, 1371, 1463, 1506, 
71	-	60, 89, 91, 119, 196, 231, 294, 305, 349, 362, 389, 397, 438, 543, 554, 569, 611, 631, 645, 666, 676, 699, 736, 768, 874, 882, 903, 968, 978, 1017, 1087, 1088, 1184, 1187, 1252, 1298, 1379, 1404, 1420, 1528, 
72	-	121, 133, 148, 171, 364, 572, 589, 590, 615, 619, 752, 783, 796, 800, 812, 893, 933, 934, 1037, 1171, 1195, 1220, 1300, 1308, 1312, 1403, 1469, 1488, 1500, 1523, 
73	-	14, 65, 195, 258, 284, 302, 319, 416, 573, 689, 756, 828, 1076, 1081, 1472, 1498, 
74	-	15, 27, 135, 184, 187, 205, 331, 400, 476, 711, 830, 842, 854, 959, 972, 1042, 1083, 1132, 1247, 1275, 1348, 1351, 1369, 
